# Mon Apr 08 18:36:27 2019
abstime,time_stamp,volt,curr,pf,mul
1554773787294,0.097,121.2,0.00614,0.429,0.319248072
1554773787341,0.144,121.2,0.00614,0.429,0.319248072
1554773787387,0.19,121.2,0.00614,0.429,0.319248072
1554773787432,0.235,121.2,0.00614,0.429,0.319248072
1554773787490,0.293,121.2,0.00615,0.426,0.31753188
1554773787535,0.338,121.2,0.00615,0.426,0.31753188
1554773787581,0.384,121.2,0.00615,0.426,0.31753188
1554773787626,0.429,121.2,0.00615,0.426,0.31753188
1554773787690,0.493,121.2,0.00626,0.43,0.32624616
1554773787736,0.539,121.2,0.00626,0.43,0.32624616
1554773787782,0.585,121.2,0.00626,0.43,0.32624616
1554773787828,0.631,121.2,0.00626,0.43,0.32624616
1554773787891,0.694,121.2,0.00613,0.429,0.318728124
1554773787937,0.74,121.2,0.00613,0.429,0.318728124
1554773787983,0.786,121.2,0.00613,0.429,0.318728124
1554773788029,0.832,121.2,0.00613,0.429,0.318728124
1554773788090,0.893,121.3,0.00609,0.427,0.315432159
1554773788136,0.939,121.3,0.00609,0.427,0.315432159
1554773788182,0.985,121.3,0.00609,0.427,0.315432159
1554773788228,1.031,121.3,0.00609,0.427,0.315432159
1554773788290,1.093,121.2,0.00608,0.428,0.315391488
1554773788337,1.14,121.2,0.00608,0.428,0.315391488
1554773788383,1.186,121.2,0.00608,0.428,0.315391488
1554773788429,1.232,121.2,0.00608,0.428,0.315391488
1554773788490,1.293,121.2,0.00608,0.432,0.318339072
1554773788536,1.339,121.2,0.00608,0.432,0.318339072
1554773788582,1.385,121.2,0.00608,0.432,0.318339072
1554773788628,1.431,121.2,0.00608,0.432,0.318339072
1554773788689,1.492,121.3,0.00608,0.429,0.316389216
1554773788735,1.538,121.3,0.00608,0.429,0.316389216
1554773788781,1.584,121.3,0.00608,0.429,0.316389216
1554773788827,1.63,121.3,0.00608,0.429,0.316389216
1554773788890,1.693,121.3,0.00605,0.43,0.31556195
1554773788936,1.739,121.3,0.00605,0.43,0.31556195
1554773788982,1.785,121.3,0.00605,0.43,0.31556195
1554773789028,1.831,121.3,0.00605,0.43,0.31556195
1554773789090,1.893,121.3,0.00606,0.428,0.314613384
1554773789137,1.94,121.3,0.00606,0.428,0.314613384
1554773789183,1.986,121.3,0.00606,0.428,0.314613384
1554773789229,2.032,121.3,0.00606,0.428,0.314613384
1554773789290,2.093,121.3,0.00604,0.426,0.312109752
1554773789336,2.139,121.3,0.00604,0.426,0.312109752
1554773789382,2.185,121.3,0.00604,0.426,0.312109752
1554773789428,2.231,121.3,0.00604,0.426,0.312109752
1554773789489,2.292,121.2,0.00601,0.428,0.311760336
1554773789535,2.338,121.2,0.00601,0.428,0.311760336
1554773789581,2.384,121.2,0.00601,0.428,0.311760336
1554773789627,2.43,121.2,0.00601,0.428,0.311760336
1554773789690,2.493,121.2,0.00608,0.431,0.317602176
1554773789736,2.539,121.2,0.00608,0.431,0.317602176
1554773789782,2.585,121.2,0.00608,0.431,0.317602176
You pressed Ctrl+C!
