# Mon Apr 08 21:54:42 2019
abstime,time_stamp,volt,curr,pf,mul
1554785682775,0.081,121.3,0.00581,0.424,0.298815272
1554785682823,0.128,121.3,0.00581,0.424,0.298815272
1554785682869,0.174,121.3,0.00581,0.424,0.298815272
1554785682915,0.22,121.3,0.00581,0.424,0.298815272
1554785682961,0.266,121.3,0.00561,0.42,0.28580706
1554785683006,0.311,121.3,0.00561,0.42,0.28580706
1554785683052,0.357,121.3,0.00561,0.42,0.28580706
1554785683097,0.402,121.3,0.00561,0.42,0.28580706
1554785683144,0.449,121.3,0.0056,0.423,0.28733544
1554785683189,0.494,121.3,0.0056,0.423,0.28733544
1554785683235,0.54,121.3,0.0056,0.423,0.28733544
1554785683280,0.585,121.3,0.0056,0.423,0.28733544
1554785683343,0.648,121.3,0.00567,0.418,0.287488278
1554785683389,0.694,121.3,0.00567,0.418,0.287488278
1554785683435,0.74,121.3,0.00567,0.418,0.287488278
1554785683481,0.786,121.3,0.00567,0.418,0.287488278
1554785683543,0.849,121.3,0.00569,0.421,0.290572937
1554785683590,0.895,121.3,0.00569,0.421,0.290572937
1554785683636,0.941,121.3,0.00569,0.421,0.290572937
1554785683682,0.987,121.3,0.00569,0.421,0.290572937
1554785683744,1.049,121.3,0.00567,0.419,0.288176049
1554785683790,1.095,121.3,0.00567,0.419,0.288176049
1554785683836,1.141,121.3,0.00567,0.419,0.288176049
1554785683882,1.187,121.3,0.00567,0.419,0.288176049
1554785683943,1.248,121.2,0.00566,0.42,0.28811664
1554785683989,1.294,121.2,0.00566,0.42,0.28811664
1554785684035,1.34,121.2,0.00566,0.42,0.28811664
1554785684081,1.386,121.2,0.00566,0.42,0.28811664
1554785684144,1.449,121.2,0.00569,0.421,0.290333388
1554785684190,1.495,121.2,0.00569,0.421,0.290333388
1554785684236,1.541,121.2,0.00569,0.421,0.290333388
1554785684282,1.587,121.2,0.00569,0.421,0.290333388
1554785684343,1.648,121.2,0.00567,0.42,0.28862568
1554785684389,1.694,121.2,0.00567,0.42,0.28862568
1554785684435,1.741,121.2,0.00567,0.42,0.28862568
1554785684482,1.787,121.2,0.00567,0.42,0.28862568
1554785684544,1.849,121.2,0.00567,0.422,0.290000088
1554785684590,1.895,121.2,0.00567,0.422,0.290000088
1554785684636,1.941,121.2,0.00567,0.422,0.290000088
1554785684683,1.988,121.2,0.00567,0.422,0.290000088
1554785684744,2.049,121.2,0.00567,0.422,0.290000088
1554785684790,2.095,121.2,0.00567,0.422,0.290000088
1554785684836,2.141,121.2,0.00567,0.422,0.290000088
1554785684882,2.187,121.2,0.00567,0.422,0.290000088
1554785684944,2.249,121.2,0.00563,0.422,0.287954232
1554785684990,2.295,121.2,0.00563,0.422,0.287954232
1554785685037,2.342,121.2,0.00563,0.422,0.287954232
1554785685083,2.388,121.2,0.00563,0.422,0.287954232
1554785685144,2.449,121.2,0.00564,0.421,0.287782128
