# Mon Apr 08 22:37:56 2019
abstime,time_stamp,volt,curr,pf,mul
1554788276304,0.081,121.2,0.00578,0.417,0.292123512
1554788276351,0.128,121.2,0.00578,0.417,0.292123512
1554788276397,0.174,121.2,0.00578,0.417,0.292123512
1554788276443,0.22,121.2,0.00578,0.417,0.292123512
1554788276489,0.266,121.2,0.00572,0.419,0.290477616
1554788276534,0.311,121.2,0.00572,0.419,0.290477616
1554788276579,0.356,121.2,0.00572,0.419,0.290477616
1554788276625,0.402,121.2,0.00572,0.419,0.290477616
1554788276688,0.465,121.2,0.00572,0.418,0.289784352
1554788276733,0.51,121.2,0.00572,0.418,0.289784352
1554788276779,0.556,121.2,0.00572,0.418,0.289784352
1554788276824,0.601,121.2,0.00572,0.418,0.289784352
1554788276888,0.665,121.2,0.00573,0.423,0.293763348
1554788276933,0.711,121.2,0.00573,0.423,0.293763348
1554788276979,0.757,121.2,0.00573,0.423,0.293763348
1554788277026,0.803,121.2,0.00573,0.423,0.293763348
1554788277088,0.865,121.2,0.00574,0.423,0.294276024
1554788277134,0.911,121.2,0.00574,0.423,0.294276024
1554788277180,0.957,121.2,0.00574,0.423,0.294276024
1554788277226,1.003,121.2,0.00574,0.423,0.294276024
1554788277288,1.066,121.2,0.00576,0.424,0.295999488
1554788277334,1.112,121.2,0.00576,0.424,0.295999488
1554788277380,1.158,121.2,0.00576,0.424,0.295999488
1554788277427,1.204,121.2,0.00576,0.424,0.295999488
1554788277488,1.265,121.2,0.00574,0.421,0.292884648
1554788277534,1.311,121.2,0.00574,0.421,0.292884648
1554788277580,1.357,121.2,0.00574,0.421,0.292884648
1554788277626,1.403,121.2,0.00574,0.421,0.292884648
1554788277688,1.465,121.2,0.00578,0.423,0.296326728
1554788277734,1.511,121.2,0.00578,0.423,0.296326728
1554788277780,1.557,121.2,0.00578,0.423,0.296326728
1554788277826,1.603,121.2,0.00578,0.423,0.296326728
1554788277888,1.666,121.2,0.00577,0.423,0.295814052
1554788277934,1.712,121.2,0.00577,0.423,0.295814052
1554788277981,1.758,121.2,0.00577,0.423,0.295814052
1554788278027,1.804,121.2,0.00577,0.423,0.295814052
1554788278088,1.865,121.3,0.00582,0.42,0.29650572
1554788278134,1.911,121.3,0.00582,0.42,0.29650572
1554788278180,1.957,121.3,0.00582,0.42,0.29650572
1554788278226,2.003,121.3,0.00582,0.42,0.29650572
1554788278288,2.065,121.3,0.00578,0.422,0.295870108
1554788278334,2.111,121.3,0.00578,0.422,0.295870108
1554788278380,2.158,121.3,0.00578,0.422,0.295870108
1554788278426,2.204,121.3,0.00578,0.422,0.295870108
1554788278488,2.265,121.2,0.00583,0.418,0.295357128
1554788278534,2.311,121.2,0.00583,0.418,0.295357128
1554788278580,2.357,121.2,0.00583,0.418,0.295357128
1554788278626,2.403,121.2,0.00583,0.418,0.295357128
1554788278688,2.465,121.3,0.00584,0.419,0.296816248
1554788278734,2.511,121.3,0.00584,0.419,0.296816248
1554788278781,2.558,121.3,0.00584,0.419,0.296816248
1554788278826,2.603,121.3,0.00584,0.419,0.296816248
1554788278887,2.664,121.3,0.00584,0.419,0.296816248
1554788278933,2.71,121.3,0.00584,0.419,0.296816248
1554788278979,2.756,121.3,0.00584,0.419,0.296816248
1554788279025,2.802,121.3,0.00584,0.419,0.296816248
1554788279088,2.865,121.3,0.00581,0.418,0.294586754
1554788279134,2.911,121.3,0.00581,0.418,0.294586754
1554788279180,2.957,121.3,0.00581,0.418,0.294586754
1554788279226,3.003,121.3,0.00581,0.418,0.294586754
1554788279288,3.065,121.3,0.00573,0.42,0.29192058
1554788279334,3.111,121.3,0.00573,0.42,0.29192058
1554788279380,3.157,121.3,0.00573,0.42,0.29192058
1554788279426,3.203,121.3,0.00573,0.42,0.29192058
1554788279487,3.264,121.3,0.00574,0.422,0.293822564
1554788279533,3.311,121.3,0.00574,0.422,0.293822564
1554788279580,3.357,121.3,0.00574,0.422,0.293822564
1554788279626,3.403,121.3,0.00574,0.422,0.293822564
1554788279688,3.465,121.3,0.00578,0.419,0.293766766
1554788279734,3.511,121.3,0.00578,0.419,0.293766766
1554788279780,3.557,121.3,0.00578,0.419,0.293766766
1554788279826,3.603,121.3,0.00578,0.419,0.293766766
1554788279887,3.664,121.3,0.00576,0.418,0.292051584
1554788279933,3.71,121.3,0.00576,0.418,0.292051584
1554788279979,3.756,121.3,0.00576,0.418,0.292051584
1554788280025,3.802,121.3,0.00576,0.418,0.292051584
1554788280088,3.865,121.3,0.00577,0.418,0.292558618
1554788280134,3.911,121.3,0.00577,0.418,0.292558618
1554788280180,3.957,121.3,0.00577,0.418,0.292558618
1554788280226,4.003,121.3,0.00577,0.418,0.292558618
1554788280287,4.064,121.2,0.00573,0.418,0.290290968
1554788280333,4.11,121.2,0.00573,0.418,0.290290968
1554788280380,4.157,121.2,0.00573,0.418,0.290290968
1554788280426,4.203,121.2,0.00573,0.418,0.290290968
1554788280488,4.265,121.2,0.00574,0.42,0.29218896
1554788280534,4.311,121.2,0.00574,0.42,0.29218896
1554788280580,4.357,121.2,0.00574,0.42,0.29218896
1554788280626,4.403,121.2,0.00574,0.42,0.29218896
1554788280687,4.464,121.2,0.00576,0.419,0.292508928
1554788280733,4.51,121.2,0.00576,0.419,0.292508928
1554788280779,4.556,121.2,0.00576,0.419,0.292508928
1554788280826,4.603,121.2,0.00576,0.419,0.292508928
1554788280888,4.665,121.2,0.00576,0.42,0.29320704
1554788280934,4.711,121.2,0.00576,0.42,0.29320704
1554788280980,4.757,121.2,0.00576,0.42,0.29320704
1554788281026,4.803,121.2,0.00576,0.42,0.29320704
1554788281087,4.864,121.2,0.00581,0.419,0.295048068
1554788281133,4.91,121.2,0.00581,0.419,0.295048068
1554788281179,4.956,121.2,0.00581,0.419,0.295048068
1554788281225,5.002,121.2,0.00581,0.419,0.295048068
1554788281288,5.065,121.2,0.00575,0.421,0.2933949
1554788281334,5.111,121.2,0.00575,0.421,0.2933949
1554788281380,5.157,121.2,0.00575,0.421,0.2933949
1554788281426,5.203,121.2,0.00575,0.421,0.2933949
1554788281488,5.265,121.2,0.00576,0.421,0.293905152
1554788281534,5.311,121.2,0.00576,0.421,0.293905152
1554788281580,5.357,121.2,0.00576,0.421,0.293905152
1554788281626,5.404,121.2,0.00576,0.421,0.293905152
1554788281688,5.465,121.2,0.00578,0.422,0.295626192
1554788281734,5.511,121.2,0.00578,0.422,0.295626192
1554788281780,5.557,121.2,0.00578,0.422,0.295626192
1554788281826,5.603,121.2,0.00578,0.422,0.295626192
1554788281887,5.664,121.2,0.00577,0.422,0.295114728
1554788281933,5.711,121.2,0.00577,0.422,0.295114728
1554788281980,5.757,121.2,0.00577,0.422,0.295114728
1554788282026,5.803,121.2,0.00577,0.422,0.295114728
1554788282087,5.864,121.2,0.00581,0.422,0.297160584
1554788282133,5.91,121.2,0.00581,0.422,0.297160584
1554788282179,5.956,121.2,0.00581,0.422,0.297160584
1554788282225,6.002,121.2,0.00581,0.422,0.297160584
1554788282288,6.065,121.3,0.0058,0.424,0.29830096
1554788282334,6.111,121.3,0.0058,0.424,0.29830096
1554788282380,6.157,121.3,0.0058,0.424,0.29830096
1554788282426,6.203,121.3,0.0058,0.424,0.29830096
1554788282487,6.264,121.2,0.00578,0.422,0.295626192
1554788282533,6.31,121.2,0.00578,0.422,0.295626192
1554788282579,6.356,121.2,0.00578,0.422,0.295626192
1554788282625,6.402,121.2,0.00578,0.422,0.295626192
1554788282687,6.464,121.2,0.00578,0.422,0.295626192
1554788282733,6.51,121.2,0.00578,0.422,0.295626192
1554788282779,6.557,121.2,0.00578,0.422,0.295626192
1554788282826,6.603,121.2,0.00578,0.422,0.295626192
1554788282888,6.665,121.3,0.00577,0.423,0.296058123
1554788282934,6.711,121.3,0.00577,0.423,0.296058123
1554788282980,6.757,121.3,0.00577,0.423,0.296058123
1554788283026,6.803,121.3,0.00577,0.423,0.296058123
1554788283087,6.864,121.3,0.00576,0.423,0.295545024
1554788283133,6.91,121.3,0.00576,0.423,0.295545024
1554788283179,6.956,121.3,0.00576,0.423,0.295545024
1554788283225,7.002,121.3,0.00576,0.423,0.295545024
1554788283288,7.065,121.3,0.00572,0.421,0.292104956
1554788283334,7.111,121.3,0.00572,0.421,0.292104956
1554788283380,7.157,121.3,0.00572,0.421,0.292104956
1554788283426,7.203,121.3,0.00572,0.421,0.292104956
1554788283487,7.264,121.3,0.00578,0.418,0.293065652
1554788283533,7.31,121.3,0.00578,0.418,0.293065652
1554788283579,7.356,121.3,0.00578,0.418,0.293065652
1554788283625,7.402,121.3,0.00578,0.418,0.293065652
1554788283688,7.465,121.2,0.00582,0.414,0.292028976
1554788283734,7.511,121.2,0.00582,0.414,0.292028976
1554788283780,7.557,121.2,0.00582,0.414,0.292028976
1554788283826,7.603,121.2,0.00582,0.414,0.292028976
1554788283887,7.664,121.3,0.00578,0.415,0.29096231
1554788283933,7.71,121.3,0.00578,0.415,0.29096231
1554788283979,7.756,121.3,0.00578,0.415,0.29096231
1554788284025,7.802,121.3,0.00578,0.415,0.29096231
1554788284088,7.865,121.3,0.00576,0.418,0.292051584
1554788284134,7.911,121.3,0.00576,0.418,0.292051584
1554788284180,7.957,121.3,0.00576,0.418,0.292051584
1554788284226,8.003,121.3,0.00576,0.418,0.292051584
1554788284287,8.064,121.3,0.00576,0.419,0.292750272
1554788284333,8.11,121.3,0.00576,0.419,0.292750272
1554788284379,8.156,121.3,0.00576,0.419,0.292750272
1554788284425,8.202,121.3,0.00576,0.419,0.292750272
1554788284488,8.265,121.2,0.00573,0.417,0.289596492
1554788284534,8.311,121.2,0.00573,0.417,0.289596492
1554788284580,8.357,121.2,0.00573,0.417,0.289596492
1554788284626,8.403,121.2,0.00573,0.417,0.289596492
1554788284687,8.464,121.2,0.00574,0.417,0.290101896
1554788284733,8.51,121.2,0.00574,0.417,0.290101896
1554788284779,8.556,121.2,0.00574,0.417,0.290101896
1554788284825,8.603,121.2,0.00574,0.417,0.290101896
1554788284888,8.665,121.2,0.00574,0.42,0.29218896
1554788284934,8.711,121.2,0.00574,0.42,0.29218896
1554788284980,8.757,121.2,0.00574,0.42,0.29218896
1554788285026,8.803,121.2,0.00574,0.42,0.29218896
1554788285087,8.864,121.2,0.00573,0.423,0.293763348
1554788285133,8.91,121.2,0.00573,0.423,0.293763348
1554788285179,8.956,121.2,0.00573,0.423,0.293763348
1554788285225,9.002,121.2,0.00573,0.423,0.293763348
1554788285287,9.065,121.2,0.0057,0.421,0.29084364
1554788285334,9.111,121.2,0.0057,0.421,0.29084364
1554788285380,9.157,121.2,0.0057,0.421,0.29084364
1554788285426,9.203,121.2,0.0057,0.421,0.29084364
1554788285487,9.264,121.2,0.00572,0.423,0.293250672
1554788285533,9.31,121.2,0.00572,0.423,0.293250672
1554788285579,9.356,121.2,0.00572,0.423,0.293250672
1554788285625,9.402,121.2,0.00572,0.423,0.293250672
1554788285688,9.465,121.2,0.00576,0.423,0.295301376
1554788285734,9.511,121.2,0.00576,0.423,0.295301376
1554788285780,9.557,121.2,0.00576,0.423,0.295301376
1554788285826,9.603,121.2,0.00576,0.423,0.295301376
1554788285887,9.664,121.2,0.00579,0.424,0.297541152
1554788285933,9.71,121.2,0.00579,0.424,0.297541152
1554788285979,9.756,121.2,0.00579,0.424,0.297541152
1554788286025,9.802,121.2,0.00579,0.424,0.297541152
1554788286087,9.864,121.2,0.00582,0.422,0.297672048
1554788286133,9.911,121.2,0.00582,0.422,0.297672048
1554788286181,9.958,121.2,0.00582,0.422,0.297672048
1554788286227,10.004,121.2,0.00582,0.422,0.297672048
1554788286287,10.064,121.3,0.00582,0.419,0.295799754
1554788286332,10.11,121.3,0.00582,0.419,0.295799754
1554788286379,10.156,121.3,0.00582,0.419,0.295799754
1554788286425,10.202,121.3,0.00582,0.419,0.295799754
1554788286487,10.264,121.2,0.00575,0.424,0.2954856
1554788286533,10.31,121.2,0.00575,0.424,0.2954856
1554788286579,10.356,121.2,0.00575,0.424,0.2954856
1554788286625,10.402,121.2,0.00575,0.424,0.2954856
1554788286688,10.465,121.2,0.00577,0.422,0.295114728
1554788286734,10.511,121.2,0.00577,0.422,0.295114728
1554788286780,10.557,121.2,0.00577,0.422,0.295114728
1554788286826,10.603,121.2,0.00577,0.422,0.295114728
1554788286887,10.664,121.3,0.00575,0.423,0.295031925
1554788286933,10.71,121.3,0.00575,0.423,0.295031925
1554788286980,10.757,121.3,0.00575,0.423,0.295031925
1554788287025,10.802,121.3,0.00575,0.423,0.295031925
1554788287087,10.864,121.3,0.00578,0.423,0.296571222
1554788287132,10.909,121.3,0.00578,0.423,0.296571222
1554788287178,10.955,121.3,0.00578,0.423,0.296571222
1554788287225,11.002,121.3,0.00578,0.423,0.296571222
1554788287287,11.064,121.3,0.00574,0.421,0.293126302
1554788287333,11.11,121.3,0.00574,0.421,0.293126302
1554788287379,11.156,121.3,0.00574,0.421,0.293126302
1554788287425,11.202,121.3,0.00574,0.421,0.293126302
1554788287486,11.264,121.3,0.00571,0.422,0.292286906
1554788287532,11.309,121.3,0.00571,0.422,0.292286906
1554788287579,11.356,121.3,0.00571,0.422,0.292286906
1554788287625,11.402,121.3,0.00571,0.422,0.292286906
1554788287687,11.464,121.3,0.00573,0.422,0.293310678
1554788287733,11.51,121.3,0.00573,0.422,0.293310678
1554788287779,11.556,121.3,0.00573,0.422,0.293310678
1554788287825,11.602,121.3,0.00573,0.422,0.293310678
1554788287886,11.663,121.3,0.00574,0.423,0.294518826
1554788287933,11.71,121.3,0.00574,0.423,0.294518826
1554788287979,11.756,121.3,0.00574,0.423,0.294518826
1554788288025,11.802,121.3,0.00574,0.423,0.294518826
1554788288087,11.864,121.3,0.00572,0.422,0.292798792
1554788288134,11.911,121.3,0.00572,0.422,0.292798792
1554788288180,11.957,121.3,0.00572,0.422,0.292798792
1554788288226,12.003,121.3,0.00572,0.422,0.292798792
1554788288287,12.064,121.3,0.0057,0.42,0.2903922
1554788288333,12.11,121.3,0.0057,0.42,0.2903922
1554788288380,12.157,121.3,0.0057,0.42,0.2903922
1554788288426,12.203,121.3,0.0057,0.42,0.2903922
1554788288487,12.264,121.2,0.0057,0.42,0.2901528
1554788288533,12.31,121.2,0.0057,0.42,0.2901528
1554788288579,12.356,121.2,0.0057,0.42,0.2901528
1554788288625,12.402,121.2,0.0057,0.42,0.2901528
1554788288686,12.463,121.2,0.00574,0.419,0.291493272
1554788288733,12.51,121.2,0.00574,0.419,0.291493272
1554788288779,12.556,121.2,0.00574,0.419,0.291493272
1554788288825,12.602,121.2,0.00574,0.419,0.291493272
1554788288887,12.664,121.2,0.00575,0.42,0.292698
1554788288933,12.71,121.2,0.00575,0.42,0.292698
1554788288979,12.756,121.2,0.00575,0.42,0.292698
1554788289025,12.802,121.2,0.00575,0.42,0.292698
1554788289087,12.864,121.2,0.00571,0.425,0.2941221
1554788289133,12.91,121.2,0.00571,0.425,0.2941221
1554788289179,12.956,121.2,0.00571,0.425,0.2941221
1554788289225,13.002,121.2,0.00571,0.425,0.2941221
1554788289287,13.064,121.2,0.0057,0.422,0.29153448
1554788289333,13.11,121.2,0.0057,0.422,0.29153448
1554788289379,13.156,121.2,0.0057,0.422,0.29153448
1554788289425,13.202,121.2,0.0057,0.422,0.29153448
1554788289487,13.264,121.2,0.00573,0.422,0.293068872
1554788289533,13.31,121.2,0.00573,0.422,0.293068872
1554788289580,13.357,121.2,0.00573,0.422,0.293068872
1554788289626,13.403,121.2,0.00573,0.422,0.293068872
1554788289687,13.464,121.2,0.00578,0.422,0.295626192
1554788289733,13.51,121.2,0.00578,0.422,0.295626192
1554788289779,13.556,121.2,0.00578,0.422,0.295626192
1554788289825,13.602,121.2,0.00578,0.422,0.295626192
1554788289886,13.663,121.2,0.00577,0.421,0.294415404
1554788289932,13.709,121.2,0.00577,0.421,0.294415404
1554788289978,13.755,121.2,0.00577,0.421,0.294415404
1554788290024,13.801,121.2,0.00577,0.421,0.294415404
1554788290087,13.864,121.2,0.00583,0.419,0.296063724
1554788290133,13.91,121.2,0.00583,0.419,0.296063724
1554788290179,13.956,121.2,0.00583,0.419,0.296063724
1554788290225,14.002,121.2,0.00583,0.419,0.296063724
1554788290287,14.064,121.2,0.00586,0.419,0.297587208
1554788290333,14.11,121.2,0.00586,0.419,0.297587208
1554788290378,14.156,121.2,0.00586,0.419,0.297587208
1554788290425,14.202,121.2,0.00586,0.419,0.297587208
1554788290487,14.264,121.2,0.00582,0.421,0.296966664
1554788290533,14.31,121.2,0.00582,0.421,0.296966664
1554788290579,14.356,121.2,0.00582,0.421,0.296966664
1554788290625,14.402,121.2,0.00582,0.421,0.296966664
1554788290686,14.463,121.2,0.00583,0.42,0.29677032
1554788290732,14.509,121.2,0.00583,0.42,0.29677032
1554788290778,14.555,121.2,0.00583,0.42,0.29677032
1554788290824,14.601,121.2,0.00583,0.42,0.29677032
1554788290886,14.663,121.2,0.00579,0.42,0.29473416
1554788290932,14.709,121.2,0.00579,0.42,0.29473416
1554788290978,14.755,121.2,0.00579,0.42,0.29473416
1554788291025,14.802,121.2,0.00579,0.42,0.29473416
1554788291087,14.864,121.3,0.00583,0.419,0.296308001
1554788291133,14.91,121.3,0.00583,0.419,0.296308001
1554788291179,14.956,121.3,0.00583,0.419,0.296308001
1554788291225,15.002,121.3,0.00583,0.419,0.296308001
1554788291286,15.063,121.3,0.00578,0.419,0.293766766
1554788291332,15.109,121.3,0.00578,0.419,0.293766766
1554788291379,15.156,121.3,0.00578,0.419,0.293766766
1554788291425,15.202,121.3,0.00578,0.419,0.293766766
1554788291487,15.264,121.3,0.00575,0.42,0.2929395
1554788291533,15.31,121.3,0.00575,0.42,0.2929395
1554788291579,15.356,121.3,0.00575,0.42,0.2929395
1554788291625,15.402,121.3,0.00575,0.42,0.2929395
1554788291686,15.463,121.2,0.00572,0.422,0.292557408
1554788291732,15.509,121.2,0.00572,0.422,0.292557408
1554788291778,15.555,121.2,0.00572,0.422,0.292557408
1554788291825,15.602,121.2,0.00572,0.422,0.292557408
1554788291887,15.664,121.2,0.00577,0.42,0.29371608
1554788291933,15.71,121.2,0.00577,0.42,0.29371608
1554788291979,15.756,121.2,0.00577,0.42,0.29371608
1554788292025,15.802,121.2,0.00577,0.42,0.29371608
1554788292087,15.864,121.2,0.00578,0.418,0.292824048
1554788292133,15.91,121.2,0.00578,0.418,0.292824048
1554788292179,15.956,121.2,0.00578,0.418,0.292824048
1554788292225,16.002,121.2,0.00578,0.418,0.292824048
1554788292286,16.063,121.3,0.00576,0.418,0.292051584
1554788292332,16.109,121.3,0.00576,0.418,0.292051584
