# Mon Apr 08 18:09:28 2019
abstime,time_stamp,volt,curr,pf,mul
1554772168302,0.08,121.3,0.00663,0.429,0.345009951
1554772168350,0.128,121.3,0.00663,0.429,0.345009951
1554772168396,0.174,121.3,0.00663,0.429,0.345009951
1554772168441,0.219,121.3,0.00663,0.429,0.345009951
1554772168486,0.265,121.3,0.00668,0.426,0.345180984
1554772168532,0.311,121.3,0.00668,0.426,0.345180984
1554772168578,0.357,121.3,0.00668,0.426,0.345180984
1554772168623,0.401,121.3,0.00668,0.426,0.345180984
1554772168676,0.454,121.3,0.00667,0.427,0.345473317
1554772168721,0.499,121.3,0.00667,0.427,0.345473317
1554772168766,0.544,121.3,0.00667,0.427,0.345473317
1554772168812,0.59,121.3,0.00667,0.427,0.345473317
1554772168876,0.654,121.3,0.00671,0.427,0.347545121
1554772168922,0.7,121.3,0.00671,0.427,0.347545121
1554772168968,0.746,121.3,0.00671,0.427,0.347545121
1554772169014,0.792,121.3,0.00671,0.427,0.347545121
1554772169075,0.853,121.3,0.00676,0.424,0.347674912
1554772169121,0.899,121.3,0.00676,0.424,0.347674912
1554772169168,0.946,121.3,0.00676,0.424,0.347674912
1554772169214,0.992,121.3,0.00676,0.424,0.347674912
1554772169275,1.053,121.3,0.00678,0.424,0.348703536
1554772169321,1.099,121.3,0.00678,0.424,0.348703536
1554772169367,1.145,121.3,0.00678,0.424,0.348703536
1554772169413,1.191,121.3,0.00678,0.424,0.348703536
1554772169476,1.254,121.3,0.00671,0.425,0.345917275
1554772169522,1.3,121.3,0.00671,0.425,0.345917275
1554772169568,1.346,121.3,0.00671,0.425,0.345917275
1554772169614,1.392,121.3,0.00671,0.425,0.345917275
1554772169676,1.454,121.3,0.00671,0.427,0.347545121
1554772169722,1.5,121.3,0.00671,0.427,0.347545121
1554772169768,1.546,121.3,0.00671,0.427,0.347545121
1554772169814,1.592,121.3,0.00671,0.427,0.347545121
1554772169875,1.653,121.3,0.00672,0.425,0.3464328
1554772169921,1.699,121.3,0.00672,0.425,0.3464328
1554772169967,1.745,121.3,0.00672,0.425,0.3464328
1554772170013,1.791,121.3,0.00672,0.425,0.3464328
1554772170076,1.854,121.3,0.00674,0.426,0.348281412
1554772170122,1.9,121.3,0.00674,0.426,0.348281412
1554772170168,1.946,121.3,0.00674,0.426,0.348281412
1554772170214,1.992,121.3,0.00674,0.426,0.348281412
1554772170276,2.054,121.3,0.00674,0.423,0.345828726
1554772170322,2.1,121.3,0.00674,0.423,0.345828726
1554772170368,2.146,121.3,0.00674,0.423,0.345828726
1554772170414,2.192,121.3,0.00674,0.423,0.345828726
1554772170475,2.253,121.3,0.0067,0.423,0.34377633
1554772170521,2.299,121.3,0.0067,0.423,0.34377633
1554772170567,2.345,121.3,0.0067,0.423,0.34377633
1554772170613,2.391,121.3,0.0067,0.423,0.34377633
1554772170676,2.454,121.3,0.00663,0.429,0.345009951
1554772170722,2.5,121.3,0.00663,0.429,0.345009951
1554772170768,2.546,121.3,0.00663,0.429,0.345009951
1554772170814,2.592,121.3,0.00663,0.429,0.345009951
1554772170875,2.653,121.3,0.00668,0.425,0.3443707
1554772170921,2.699,121.3,0.00668,0.425,0.3443707
1554772170968,2.746,121.3,0.00668,0.425,0.3443707
1554772171014,2.792,121.3,0.00668,0.425,0.3443707
1554772171075,2.853,121.3,0.00669,0.426,0.345697722
1554772171121,2.899,121.3,0.00669,0.426,0.345697722
1554772171167,2.945,121.3,0.00669,0.426,0.345697722
1554772171213,2.991,121.3,0.00669,0.426,0.345697722
1554772171275,3.053,121.3,0.00666,0.425,0.34333965
1554772171321,3.099,121.3,0.00666,0.425,0.34333965
1554772171367,3.145,121.3,0.00666,0.425,0.34333965
1554772171414,3.192,121.3,0.00666,0.425,0.34333965
1554772171475,3.253,121.3,0.00668,0.424,0.343560416
1554772171522,3.3,121.3,0.00668,0.424,0.343560416
1554772171568,3.346,121.3,0.00668,0.424,0.343560416
1554772171614,3.392,121.3,0.00668,0.424,0.343560416
1554772171675,3.453,121.3,0.00665,0.427,0.344437415
1554772171722,3.5,121.3,0.00665,0.427,0.344437415
1554772171768,3.546,121.3,0.00665,0.427,0.344437415
1554772171814,3.592,121.3,0.00665,0.427,0.344437415
1554772171875,3.653,121.3,0.00662,0.429,0.344489574
1554772171921,3.699,121.3,0.00662,0.429,0.344489574
1554772171967,3.745,121.3,0.00662,0.429,0.344489574
1554772172014,3.792,121.3,0.00662,0.429,0.344489574
1554772172075,3.853,121.3,0.00667,0.427,0.345473317
1554772172121,3.899,121.3,0.00667,0.427,0.345473317
1554772172167,3.945,121.3,0.00667,0.427,0.345473317
1554772172214,3.992,121.3,0.00667,0.427,0.345473317
1554772172275,4.053,121.3,0.00676,0.423,0.346854924
1554772172321,4.099,121.3,0.00676,0.423,0.346854924
1554772172367,4.145,121.3,0.00676,0.423,0.346854924
1554772172414,4.192,121.3,0.00676,0.423,0.346854924
1554772172475,4.253,121.3,0.00673,0.422,0.344499278
1554772172521,4.299,121.3,0.00673,0.422,0.344499278
1554772172567,4.345,121.3,0.00673,0.422,0.344499278
1554772172613,4.391,121.3,0.00673,0.422,0.344499278
1554772172675,4.453,121.3,0.00668,0.426,0.345180984
1554772172722,4.5,121.3,0.00668,0.426,0.345180984
1554772172768,4.546,121.3,0.00668,0.426,0.345180984
1554772172814,4.592,121.3,0.00668,0.426,0.345180984
1554772172875,4.653,121.3,0.0067,0.425,0.34540175
